Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts,Category
45054936,2019-12-01T01:59:41.000,,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11223,178 AVENUE U,AVENUE U,WEST    7 STREET,WEST    6 STREET,WEST    7 STREET,WEST    6 STREET,,BROOKLYN,AVENUE U,,In Progress,,,,15 BROOKLYN,3071200010,BROOKLYN,990437,156589,PHONE,Unspecified,BROOKLYN,,,,,,,,40.59647471152785,-73.97772148,"{'longitude': '-73.97772147626671', 'latitude': '40.59647471152785', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise
45049329,2019-12-01T01:59:08.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11207,807 SCHENCK AVENUE,SCHENCK AVENUE,LINDEN BOULEVARD,STANLEY AVENUE,LINDEN BOULEVARD,STANLEY AVENUE,,BROOKLYN,SCHENCK AVENUE,,In Progress,,,,05 BROOKLYN,3043550001,BROOKLYN,1016570,179974,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.66060478,-73.88350827,"{'longitude': '-73.8835082736363', 'latitude': '40.6606047801465', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise
45052046,2019-12-01T01:58:23.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11358,42-41 159 STREET,159 STREET,SANFORD AVENUE,43 AVENUE,SANFORD AVENUE,43 AVENUE,,FLUSHING,159 STREET,,In Progress,,,,07 QUEENS,4053900008,QUEENS,1037757,216222,MOBILE,Unspecified,QUEENS,,,,,,,,40.759993999442614,-73.80685561,"{'longitude': '-73.80685560533585', 'latitude': '40.759993999442614', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise
45050500,2019-12-01T01:57:49.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10032,650 WEST  172 STREET,WEST  172 STREET,BROADWAY,FT WASHINGTON AVENUE,BROADWAY,FT WASHINGTON AVENUE,,NEW YORK,WEST  172 STREET,,In Progress,,,,12 MANHATTAN,1021420084,MANHATTAN,1000909,246868,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.844255060237415,-73.93978983,"{'longitude': '-73.93978982759268', 'latitude': '40.844255060237415', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise
45049237,2019-12-01T01:57:48.000,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10452,1075 GERARD AVENUE,GERARD AVENUE,EAST  165 STREET,MCCLELLAN STREET,EAST  165 STREET,MCCLELLAN STREET,,BRONX,GERARD AVENUE,,In Progress,,,,04 BRONX,2024870020,BRONX,1005840,242612,PHONE,Unspecified,BRONX,,,,,,,,40.832562901301856,-73.92198156,"{'longitude': '-73.92198155650091', 'latitude': '40.832562901301856', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise
45054972,2019-12-01T01:57:30.000,,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10009,184 1 AVENUE,1 AVENUE,EAST   11 STREET,EAST   12 STREET,EAST   11 STREET,EAST   12 STREET,,NEW YORK,1 AVENUE,,In Progress,,,,03 MANHATTAN,1004390002,MANHATTAN,988720,205063,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72952611867896,-73.98387202,"{'longitude': '-73.98387201656533', 'latitude': '40.72952611867896', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise
45053708,2019-12-01T01:57:21.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10003,205 2 AVENUE,2 AVENUE,EAST   12 STREET,EAST   13 STREET,EAST   12 STREET,EAST   13 STREET,,NEW YORK,2 AVENUE,,In Progress,,,,03 MANHATTAN,1004680035,MANHATTAN,988249,205782,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.731499823118334,-73.98557098,"{'longitude': '-73.98557098076117', 'latitude': '40.731499823118334', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise
45051287,2019-12-01T01:56:52.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10453,2076 CRESTON AVENUE,CRESTON AVENUE,EAST BURNSIDE AVENUE,EAST  180 STREET,EAST BURNSIDE AVENUE,EAST  180 STREET,,BRONX,CRESTON AVENUE,,In Progress,,,,05 BRONX,2031600014,BRONX,1010820,250314,ONLINE,Unspecified,BRONX,,,,,,,,40.85368904676198,-73.90395514,"{'longitude': '-73.90395513624917', 'latitude': '40.85368904676198', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise
45053693,2019-12-01T01:56:45.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11213,739 EASTERN PARKWAY,EASTERN PARKWAY,BROOKLYN AVENUE,KINGSTON AVENUE,BROOKLYN AVENUE,KINGSTON AVENUE,,BROOKLYN,EASTERN PARKWAY,,In Progress,,,,08 BROOKLYN,3012640059,BROOKLYN,999856,183197,PHONE,Unspecified,BROOKLYN,,,,,,,,40.66949643192399,-73.94374345,"{'longitude': '-73.94374344596956', 'latitude': '40.66949643192399', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise
45054314,2019-12-01T01:55:59.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11420,150-22 130 STREET,130 STREET,150 AVENUE,OLD SOUTH ROAD,150 AVENUE,OLD SOUTH ROAD,,SOUTH OZONE PARK,130 STREET,,In Progress,,,,10 QUEENS,4118980051,QUEENS,1036660,181488,MOBILE,Unspecified,QUEENS,,,,,,,,40.664664242718636,-73.81108583,"{'longitude': '-73.81108583313846', 'latitude': '40.664664242718636', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise
45052851,2019-12-01T01:55:14.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11238,430 GRAND AVENUE,GRAND AVENUE,GATES AVENUE,PUTNAM AVENUE,GATES AVENUE,PUTNAM AVENUE,,BROOKLYN,GRAND AVENUE,,In Progress,,,,02 BROOKLYN,3019810061,BROOKLYN,994828,188332,PHONE,Unspecified,BROOKLYN,,,,,,,,40.68359828218917,-73.96186033,"{'longitude': '-73.96186033260072', 'latitude': '40.68359828218917', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise
45052028,2019-12-01T01:53:53.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10452,129 WEST  169 STREET,WEST  169 STREET,NELSON AVENUE,PLIMPTON AVENUE,NELSON AVENUE,PLIMPTON AVENUE,,BRONX,WEST  169 STREET,,In Progress,,,,04 BRONX,2025210078,BRONX,1005188,245322,PHONE,Unspecified,BRONX,,,,,,,,40.84000263402706,-73.92432919,"{'longitude': '-73.92432918761958', 'latitude': '40.84000263402706', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise
